爬山	爬山	pa2shan1	páshān	to climb a mountain; to mountaineer; hiking
怕	怕	pa4	pà	to be afraid; to fear; to dread
排	排	pai2	pái	a row; a line; to set in order
排队	排隊	pai2dui4	páiduì	to line up
排球	排球	pai2qiu2	páiqiú	volleyball
碰	碰	peng4	pèng	to touch; to meet with; to bump
碰到	碰到	peng4dao4	pèngdào	to come across; to run into; to meet
碰见	碰見	peng4jian4	pèngjiàn	to run into; to meet (unexpectedly); to bump into
篇	篇	pian1	piān	sheet; piece of writing; bound set of bamboo slips used for record keeping (old)
便宜	便宜	pian2yi5	piányi	cheap; inexpensive; small advantages
片	片	pian4	piàn	thin piece; flake; a slice
漂亮	漂亮	piao4liang5	piàoliang	pretty; beautiful
平	平	ping2	píng	flat; level; equal
平安	平安	ping2an1	píngān	safe and sound; well; without mishap
平常	平常	ping2chang2	píngcháng	ordinary; common; usually
平等	平等	ping2deng3	píngděng	equal; equality
平时	平時	ping2shi2	píngshí	ordinarily; in normal times; in peacetime
瓶	瓶	ping2	píng	bottle; vase; pitcher
瓶子	瓶子	ping2zi5	píngzi	bottle
普通	普通	pu3tong1	pǔtōng	common; ordinary; general
普通话	普通話	pu3tong1hua4	pǔtōnghuà	Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech
其他	其他	qi2ta1	qítā	other; (sth or sb) else; the rest
其中	其中	qi2zhong1	qízhōng	among; in; included among these
骑	騎	qi2	qí	to sit astride; to ride (a horse, bike etc); classifier for saddle horses
骑车	騎車	qi2che1	qíchē	to ride a bike (motorbike or bicycle)
起飞	起飛	qi3fei1	qǐfēi	(of an aircraft) to take off
气	氣	qi4	qì	gas; air; smell; weather
气温	氣溫	qi4wen1	qìwēn	air temperature
千	千	qian1	qiān	thousand
千克	千克	qian1ke4	qiānkè	kilogram
前年	前年	qian2nian2	qiánnián	the year before last
墙	牆	qiang2	qiáng	wall
青年	青年	qing1nian2	qīngnián	youth; youthful years; young person
青少年	青少年	qing1shao4nian2	qīngshàonián	adolescent; youth; teenager
轻	輕	qing1	qīng	light; easy; gentle
清楚	清楚	qing1chu5	qīngchu	clear; distinct; to understand thoroughly
晴	晴	qing2	qíng	clear; fine (weather)
晴天	晴天	qing2tian1	qíngtiān	clear sky; sunny day
请客	請客	qing3ke4	qǐngkè	to give a dinner party; to entertain guests; to invite to dinner
请求	請求	qing3qiu2	qǐngqiú	to request; to ask; request
