挨着	挨著	ai1zhe5	āizhe	near
攻击	攻擊	gong1ji1	gōngjī	to attack; to accuse; to charge
供给	供給	gong1ji3	gōngjǐ	to furnish; to provide; supply (as in supply and demand)
宫	宮	gong1	gōng	palace; temple; castration (as corporal punishment)
巩固	鞏固	gong3gu4	gǒnggù	to consolidate; consolidation; to strengthen
贡献	貢獻	gong4xian4	gòngxiàn	to contribute; to dedicate; to devote
构建	構建	gou4jian4	gòujiàn	to construct (sth abstract)
孤独	孤獨	gu1du2	gūdú	lonely; solitary
孤儿	孤兒	gu1er2	gūér	orphan
姑姑	姑姑	gu1gu5	gūgu	paternal aunt
古典	古典	gu3dian3	gǔdiǎn	classical
股	股	gu3	gǔ	thigh; part of a whole; portion of a sum
股东	股東	gu3dong1	gǔdōng	shareholder; stockholder
股票	股票	gu3piao4	gǔpiào	share certificate; stock (finance)
故障	故障	gu4zhang4	gùzhàng	malfunction; breakdown; defect
顾	顧	gu4	gù	to look after; to take into consideration; to attend to
刮	刮	gua1	guā	to scrape; to blow; to shave
拐	拐	guai3	guǎi	to turn (a corner etc); to kidnap; to swindle
关爱	關愛	guan1ai4	guānài	to show concern and care for
关联	關聯	guan1lian2	guānlián	to be related; to be connected; relationship; connection
观光	觀光	guan1guang1	guānguāng	to tour; sightseeing; tourism
官司	官司	guan1si5	guānsi	lawsuit
管道	管道	guan3dao4	guǎndào	tubing; pipeline; (fig.) channel
光辉	光輝	guang1hui1	guānghuī	radiance; glory; brilliant
广阔	廣闊	guang3kuo4	guǎngkuò	wide; vast
轨道	軌道	gui3dao4	guǐdào	track (for trains etc); orbit (of a satellite); (fig.) a person's established path in life
跪	跪	gui4	guì	to kneel
国产	國產	guo2chan3	guóchǎn	domestically produced
国歌	國歌	guo2ge1	guógē	national anthem
国会	國會	Guo2hui4	Guóhuì	Parliament (UK); Congress (US); Diet (Japan)
国旗	國旗	guo2qi2	guóqí	flag (of a country)
国王	國王	guo2wang2	guówáng	king
果酱	果醬	guo3jiang4	guǒjiàng	jam
果树	果樹	guo3shu4	guǒshù	fruit tree
过渡	過渡	guo4du4	guòdù	to cross over (by ferry); transition; interim
过后	過後	guo4hou4	guòhòu	after the event
过时	過時	guo4shi2	guòshí	old-fashioned; out of date; to be later than the time stipulated or agreed upon
海报	海報	hai3bao4	hǎibào	poster; playbill; notice
海底	海底	hai3di3	hǎidǐ	seabed; seafloor; bottom of the ocean
海军	海軍	hai3jun1	hǎijūn	navy
海浪	海浪	hai3lang4	hǎilàng	sea wave
海外	海外	hai3wai4	hǎiwài	overseas; abroad
海湾	海灣	hai3wan1	hǎiwān	bay; gulf
海洋	海洋	hai3yang2	hǎiyáng	ocean
好容易	好容易	hao3rong2yi4	hǎoróngyì	(idiomatic usage) with great difficulty; to have a hard time (convincing sb, relinquishing sth etc); (literal usage) so easy
好似	好似	hao3si4	hǎosì	to seem; to be like
好转	好轉	hao3zhuan3	hǎozhuǎn	to improve; to take a turn for the better; improvement
好学	好學	hao4xue2	hàoxué	eager to study; studious; erudite
合约	合約	he2yue1	héyuē	treaty; contract
和谐	和諧	he2xie2	héxié	harmonious; harmony; (euphemism) to censor
核心	核心	he2xin1	héxīn	core; nucleus
黑夜	黑夜	hei1ye4	hēiyè	night
很难说	很難說	hen3nan2shuo1	hěnnánshuō	Hard to say
狠	狠	hen3	hěn	ruthless; fierce; ferocious
横	橫	heng2	héng	horizontal; across; crosswise
衡量	衡量	heng2liang2	héngliáng	to weigh; to examine; to consider
宏大	宏大	hong2da4	hóngdà	great; grand
洪水	洪水	hong2shui3	hóngshuǐ	deluge; flood
忽略	忽略	hu1lüe4	hūlüè	to neglect; to overlook; to ignore
壶	壺	hu2	hú	pot; classifier for bottled liquid
互动	互動	hu4dong4	hùdòng	to interact; interactive
户外	戶外	hu4wai4	hùwài	outdoor
护	護	hu4	hù	to protect
花费	花費	hua1fei4	huāfèi	expense; cost; to spend (time or money)
花瓶	花瓶	hua1ping2	huāpíng	flower vase; (fig.) female employee considered to be just a pretty face (attractive but not very competent)
花生	花生	hua1sheng1	huāshēng	peanut; groundnut
化解	化解	hua4jie3	huàjiě	to dissolve; to resolve (contradictions); to dispel (doubts)
幻想	幻想	huan4xiang3	huànxiǎng	delusion; fantasy
患者	患者	huan4zhe3	huànzhě	patient; sufferer
皇帝	皇帝	huang2di4	huángdì	emperor
回应	回應	hui2ying4	huíyìng	to respond; response
毁	毀	hui3	huǐ	to destroy; to ruin; to defame; to slander
会见	會見	hui4jian4	huìjiàn	to meet with (sb who is paying a visit)
会长	會長	hui4zhang3	huìzhǎng	president of a club, committee etc
绘画	繪畫	hui4hua4	huìhuà	drawing; painting
昏	昏	hun1	hūn	muddle-headed; twilight; to faint
混	混	hun4	hùn	to mix; to mingle; muddled
混合	混合	hun4he2	hùnhé	to mix; to blend; hybrid
混乱	混亂	hun4luan4	hùnluàn	confusion; chaos; disorder
活跃	活躍	huo2yue4	huóyuè	active; lively; excited
火箭	火箭	huo3jian4	huǒjiàn	rocket
机动车	機動車	ji1dong4che1	jīdòngchē	motor vehicle
机关	機關	ji1guan1	jīguān	mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body
机械	機械	ji1xie4	jīxiè	machine; machinery; mechanical
基督教	基督教	Ji1du1jiao4	Jīdūjiào	Christianity; Christian
激情	激情	ji1qing2	jīqíng	passion; fervor; enthusiasm
吉利	吉利	ji2li4	jílì	auspicious; lucky; propitious
吉祥	吉祥	ji2xiang2	jíxiáng	lucky; auspicious; propitious
极端	極端	ji2duan1	jíduān	extreme
急救	急救	ji2jiu4	jíjiù	to give emergency treatment; first aid
